File,Artist,Title,BPM,Key,Camelot
french-horn_A2_1_fortissimo_normal.mp3,,381 2,104,A major,11B
french-horn_A2_1_mezzo-forte_normal.mp3,,211 1,104,A minor,8A
french-horn_A2_1_piano_normal.mp3,,46 2,123,A minor,8A
french-horn_A2_05_fortissimo_normal.mp3,,380 2,76,A minor,8A
french-horn_A2_05_mezzo-forte_normal.mp3,,210 2,107,A major,11B
french-horn_A2_05_piano_normal.mp3,,45 2,129,A minor,8A
french-horn_A2_15_fortissimo_normal.mp3,,382 2,89,A minor,8A
french-horn_A2_15_mezzo-forte_normal.mp3,,212 1,150,A minor,8A
french-horn_A2_15_piano_normal.mp3,,47 2,134,A minor,8A
french-horn_A2_025_fortissimo_normal.mp3,,379 2,134,A minor,8A
french-horn_A2_025_mezzo-forte_normal.mp3,,209 2,107,A minor,8A
french-horn_A2_025_piano_normal.mp3,,44 2,144,A minor,8A
french-horn_A3_1_fortissimo_normal.mp3,,437 1,107,A major,11B
french-horn_A3_1_mezzo-forte_normal.mp3,,259 2,99,A major,11B
french-horn_A3_1_piano_normal.mp3,,92 2,153,A minor,8A
french-horn_A3_05_fortissimo_normal.mp3,,436 2,78,A minor,8A
french-horn_A3_05_mezzo-forte_normal.mp3,,258 2,107,A minor,8A
french-horn_A3_05_piano_normal.mp3,,91 2,107,A minor,8A
french-horn_A3_15_fortissimo_normal.mp3,,438 1,96,A minor,8A
french-horn_A3_15_mezzo-forte_normal.mp3,,260 2,99,A minor,8A
french-horn_A3_15_piano_normal.mp3,,93 2,123,A minor,8A
french-horn_A3_025_fortissimo_normal.mp3,,435 1,82,A minor,8A
french-horn_A3_025_mezzo-forte_normal.mp3,,257 2,101,A minor,8A
french-horn_A3_025_piano_normal.mp3,,90 1,93,A minor,8A
french-horn_A3_phrase_forte_glissando.mp3,,718 2,107,D major,10B
french-horn_A3_very-long_cresc-decresc_normal.mp3,,640 2,89,A minor,8A
french-horn_A3_very-long_piano_glissando.mp3,,726 2,94,A minor,8A
french-horn_A3_very-long_piano_normal.mp3,,831 1,103,A minor,8A
french-horn_A4_1_forte_major-trill.mp3,,757 2,85,A minor,8A
french-horn_A4_1_forte_minor-trill.mp3,,758 2,82,A minor,8A
french-horn_A4_1_mezzo-forte_normal.mp3,,311 2,107,A minor,8A
french-horn_A4_1_piano_normal.mp3,,144 3,101,A minor,8A
french-horn_A4_05_mezzo-forte_normal.mp3,,310 2,94,A minor,8A
french-horn_A4_05_piano_normal.mp3,,143 3,87,A minor,8A
french-horn_A4_15_mezzo-forte_normal.mp3,,312 2,107,A minor,8A
french-horn_A4_15_piano_normal.mp3,,145 3,82,A minor,8A
french-horn_A4_025_fortissimo_normal.mp3,,483 1,80,A major,11B
french-horn_A4_025_mezzo-forte_normal.mp3,,309 2,87,A minor,8A
french-horn_A4_025_piano_normal.mp3,,142 3,104,A minor,8A
french-horn_A4_phrase_forte_glissando.mp3,,723 2,89,A major,11B
french-horn_A4_very-long_cresc-decresc_normal.mp3,,643 2,91,A minor,8A
french-horn_As1_1_fortissimo_normal.mp3,,334 2,107,B♭ minor,3A
french-horn_As1_1_mezzo-forte_normal.mp3,,163 2,99,B♭ minor,3A
french-horn_As1_1_piano_normal.mp3,,2 1,125,B♭ major,6B
french-horn_As1_05_fortissimo_normal.mp3,,333 2,107,B♭ minor,3A
french-horn_As1_05_mezzo-forte_normal.mp3,,162 2,121,B♭ minor,3A
french-horn_As1_05_piano_normal.mp3,,1 1,104,B♭ major,6B
french-horn_As1_15_mezzo-forte_normal.mp3,,164 3,114,B♭ major,6B
french-horn_As1_15_piano_normal.mp3,,3 1,104,B♭ major,6B
french-horn_As1_025_fortissimo_normal.mp3,,332 2,107,B♭ minor,3A
french-horn_As1_025_mezzo-forte_normal.mp3,,161 3,153,B♭ major,6B
french-horn_As1_025_piano_normal.mp3,,0 1,83,F major,7B
french-horn_As1_long_forte_normal.mp3,,679 2,139,B♭ minor,3A
french-horn_As1_phrase_forte_legato.mp3,,598 2,82,B♭ minor,3A
french-horn_As1_phrase_forte_nonlegato.mp3,,614 2,142,B♭ minor,3A
french-horn_As1_phrase_mezzo-forte_nonlegato.mp3,,794 1,104,B♭ minor,3A
french-horn_As1_phrase_mezzo-forte_staccatissimo.mp3,,822 1,113,A minor,8A
french-horn_As1_phrase_mezzo-forte_staccato.mp3,,819 1,110,A minor,8A
french-horn_As1_very-long_cresc-decresc_normal.mp3,,635 2,72,B♭ major,6B
french-horn_As2_1_fortissimo_normal.mp3,,385 1,91,B♭ major,6B
french-horn_As2_1_mezzo-forte_normal.mp3,,215 2,107,B♭ minor,3A
french-horn_As2_1_piano_normal.mp3,,50 2,153,B♭ minor,3A
french-horn_As2_05_fortissimo_normal.mp3,,384 2,107,B♭ major,6B
french-horn_As2_05_mezzo-forte_normal.mp3,,214 2,96,B♭ minor,3A
french-horn_As2_05_piano_normal.mp3,,49 2,107,B♭ minor,3A
french-horn_As2_15_fortissimo_normal.mp3,,386 2,107,B♭ major,6B
french-horn_As2_15_mezzo-forte_normal.mp3,,216 2,99,B♭ minor,3A
french-horn_As2_15_piano_normal.mp3,,51 2,87,B♭ minor,3A
french-horn_As2_025_fortissimo_normal.mp3,,383 1,121,B♭ minor,3A
french-horn_As2_025_mezzo-forte_normal.mp3,,213 2,139,B♭ major,6B
french-horn_As2_025_piano_normal.mp3,,48 2,142,B♭ minor,3A
french-horn_As2_long_forte_mute.mp3,,685 1,123,B♭ minor,3A
french-horn_As2_long_forte_normal.mp3,,684 1,94,B♭ major,6B
french-horn_As2_long_piano_mute.mp3,,839 2,96,B♭ minor,3A
french-horn_As2_long_piano_normal.mp3,,657 2,104,B♭ minor,3A
french-horn_As2_phrase_forte_glissando.mp3,,705 2,104,B♭ major,6B
french-horn_As2_very-long_fortissimo_normal.mp3,,768 2,112,B♭ major,6B
french-horn_As3_1_fortissimo_normal.mp3,,441 2,107,B♭ minor,3A
french-horn_As3_1_mezzo-forte_normal.mp3,,263 2,107,B♭ minor,3A
french-horn_As3_1_piano_normal.mp3,,96 2,104,B♭ minor,3A
french-horn_As3_05_fortissimo_normal.mp3,,440 2,107,B♭ minor,3A
french-horn_As3_05_mezzo-forte_normal.mp3,,262 2,99,B♭ major,6B
french-horn_As3_05_piano_normal.mp3,,95 2,96,B♭ minor,3A
french-horn_As3_15_fortissimo_normal.mp3,,442 2,101,B♭ major,6B
french-horn_As3_15_mezzo-forte_normal.mp3,,264 2,107,B♭ minor,3A
french-horn_As3_15_piano_normal.mp3,,97 2,82,B♭ minor,3A
french-horn_As3_025_fortissimo_normal.mp3,,439 2,85,B♭ major,6B
french-horn_As3_025_mezzo-forte_normal.mp3,,261 2,78,B♭ major,6B
french-horn_As3_025_piano_normal.mp3,,94 1,107,B♭ minor,3A
french-horn_As3_long_forte_mute.mp3,,693 2,99,B♭ major,6B
french-horn_As3_long_forte_normal.mp3,,692 2,85,B♭ major,6B
french-horn_As3_long_piano_mute.mp3,,668 2,96,B♭ minor,3A
french-horn_As3_long_piano_normal.mp3,,667 2,87,B♭ minor,3A
french-horn_As3_phrase_forte_glissando.mp3,,719 2,78,B♭ minor,3A
french-horn_As4_1_fortissimo_normal.mp3,,489 2,82,B♭ major,6B
french-horn_As4_1_mezzo-forte_normal.mp3,,319 1,127,A minor,8A
french-horn_As4_05_fortissimo_normal.mp3,,488 2,107,B♭ minor,3A
french-horn_As4_05_mezzo-forte_normal.mp3,,322 1,82,B♭ major,6B
french-horn_As4_05_piano_normal.mp3,,147 3,147,B♭ major,6B
french-horn_As4_15_fortissimo_normal.mp3,,490 2,101,B♭ minor,3A
french-horn_As4_15_mezzo-forte_normal.mp3,,316 2,107,B♭ major,6B
french-horn_As4_025_mezzo-forte_normal.mp3,,321 2,94,A minor,8A
french-horn_As4_025_piano_normal.mp3,,158 3,95,B♭ major,6B
french-horn_As4_very-long_fortissimo_normal.mp3,,776 1,101,B♭ major,6B
french-horn_As4_very-long_piano_glissando.mp3,,729 2,101,A minor,8A
french-horn_B1_1_fortissimo_normal.mp3,,337 2,87,B major,1B
french-horn_B1_1_mezzo-forte_normal.mp3,,167 3,85,A minor,8A
french-horn_B1_1_piano_normal.mp3,,6 1,82,B major,1B
french-horn_B1_05_fortissimo_normal.mp3,,336 2,78,B major,1B
french-horn_B1_05_mezzo-forte_normal.mp3,,170 3,104,B major,1B
french-horn_B1_05_piano_normal.mp3,,5 1,107,B major,1B
french-horn_B1_15_fortissimo_normal.mp3,,338 2,153,A minor,8A
french-horn_B1_15_mezzo-forte_normal.mp3,,172 2,107,B major,1B
french-horn_B1_15_piano_normal.mp3,,7 2,84,B major,1B
french-horn_B1_025_fortissimo_normal.mp3,,335 2,89,A minor,8A
french-horn_B1_025_mezzo-forte_normal.mp3,,169 3,117,C major,8B
french-horn_B1_025_piano_normal.mp3,,4 1,101,B major,1B
french-horn_B2_1_forte_major-trill.mp3,,747 1,101,E minor,9A
french-horn_B2_1_fortissimo_normal.mp3,,389 2,107,B major,1B
french-horn_B2_1_mezzo-forte_normal.mp3,,219 2,94,B major,1B
french-horn_B2_1_piano_normal.mp3,,54 1,82,B minor,10A
french-horn_B2_05_fortissimo_normal.mp3,,388 2,132,B minor,10A
french-horn_B2_05_mezzo-forte_normal.mp3,,218 2,107,B major,1B
french-horn_B2_05_piano_normal.mp3,,53 2,99,B major,1B
french-horn_B2_15_fortissimo_normal.mp3,,390 2,107,B major,1B
french-horn_B2_15_mezzo-forte_normal.mp3,,220 2,107,B major,1B
french-horn_B2_15_piano_normal.mp3,,55 2,94,B minor,10A
french-horn_B2_025_fortissimo_normal.mp3,,387 1,139,B major,1B
french-horn_B2_025_mezzo-forte_normal.mp3,,217 2,153,B minor,10A
french-horn_B2_025_piano_normal.mp3,,52 1,109,B minor,10A
french-horn_B3_1_forte_major-trill.mp3,,751 2,78,B minor,10A
french-horn_B3_1_forte_minor-trill.mp3,,752 2,99,B minor,10A
french-horn_B3_1_fortissimo_normal.mp3,,445 2,107,B minor,10A
french-horn_B3_1_mezzo-forte_normal.mp3,,267 2,147,B minor,10A
french-horn_B3_1_piano_normal.mp3,,100 3,85,B minor,10A
french-horn_B3_05_fortissimo_normal.mp3,,444 2,104,B minor,10A
french-horn_B3_05_mezzo-forte_normal.mp3,,266 2,96,B minor,10A
french-horn_B3_05_piano_normal.mp3,,99 2,91,B minor,10A
french-horn_B3_15_fortissimo_normal.mp3,,446 1,104,B minor,10A
french-horn_B3_15_mezzo-forte_normal.mp3,,268 2,99,B minor,10A
french-horn_B3_15_piano_normal.mp3,,101 3,134,B minor,10A
french-horn_B3_025_fortissimo_normal.mp3,,443 2,132,A major,11B
french-horn_B3_025_mezzo-forte_normal.mp3,,265 2,153,B minor,10A
french-horn_B3_025_piano_normal.mp3,,98 2,104,B minor,10A
french-horn_B4_1_forte_major-trill.mp3,,759 2,153,B minor,10A
french-horn_B4_1_forte_minor-trill.mp3,,760 2,107,B minor,10A
french-horn_B4_1_fortissimo_normal.mp3,,493 2,87,B minor,10A
french-horn_B4_1_mezzo-forte_normal.mp3,,326 2,91,B minor,10A
french-horn_B4_1_piano_normal.mp3,,150 3,99,B minor,10A
french-horn_B4_05_fortissimo_normal.mp3,,492 2,82,B minor,10A
french-horn_B4_05_mezzo-forte_normal.mp3,,325 1,94,B minor,10A
french-horn_B4_05_piano_normal.mp3,,149 3,94,A major,11B
french-horn_B4_15_fortissimo_normal.mp3,,494 2,104,B minor,10A
french-horn_B4_15_mezzo-forte_normal.mp3,,327 2,107,A minor,8A
french-horn_B4_15_piano_normal.mp3,,151 3,101,B minor,10A
french-horn_B4_025_fortissimo_normal.mp3,,491 2,99,A minor,8A
french-horn_B4_025_mezzo-forte_normal.mp3,,324 2,82,B minor,10A
french-horn_B4_025_piano_normal.mp3,,148 3,127,B minor,10A
french-horn_B4_long_forte_mute.mp3,,702 2,107,A minor,8A
french-horn_B4_long_forte_normal.mp3,,701 2,139,B minor,10A
french-horn_B4_long_piano_mute.mp3,,837 1,82,B minor,10A
french-horn_B4_long_piano_normal.mp3,,676 1,104,B minor,10A
french-horn_C2_1_fortissimo_normal.mp3,,341 1,104,C major,8B
french-horn_C2_1_mezzo-forte_normal.mp3,,175 3,99,C major,8B
french-horn_C2_1_piano_normal.mp3,,10 1,107,C major,8B
french-horn_C2_05_fortissimo_normal.mp3,,340 2,112,C major,8B
french-horn_C2_05_mezzo-forte_normal.mp3,,174 3,153,C major,8B
french-horn_C2_05_piano_normal.mp3,,9 2,101,C major,8B
french-horn_C2_15_fortissimo_normal.mp3,,342 1,107,C major,8B
french-horn_C2_15_mezzo-forte_normal.mp3,,176 3,129,C major,8B
french-horn_C2_15_piano_normal.mp3,,11 2,101,C major,8B
french-horn_C2_025_fortissimo_normal.mp3,,339 2,115,C# minor,
french-horn_C2_025_mezzo-forte_normal.mp3,,173 3,136,A minor,8A
french-horn_C2_025_piano_normal.mp3,,8 1,127,C major,8B
french-horn_C2_phrase_forte_legato.mp3,,589 2,103,A minor,8A
french-horn_C2_phrase_forte_nonlegato.mp3,,621 2,87,C major,8B
french-horn_C2_phrase_mezzo-forte_nonlegato.mp3,,784 1,85,A minor,8A
french-horn_C2_phrase_mezzo-forte_staccato.mp3,,820 1,113,A minor,8A
french-horn_C2_very-long_forte_normal.mp3,,739 2,139,C major,8B
french-horn_C2_very-long_fortissimo_normal.mp3,,765 2,101,C major,8B
french-horn_C2_very-long_piano_normal.mp3,,735 2,107,C major,8B
french-horn_C3_1_fortissimo_normal.mp3,,393 1,94,C major,8B
french-horn_C3_1_mezzo-forte_normal.mp3,,223 2,85,C major,8B
french-horn_C3_1_piano_normal.mp3,,58 1,107,C major,8B
french-horn_C3_05_fortissimo_normal.mp3,,392 2,107,C major,8B
french-horn_C3_05_mezzo-forte_normal.mp3,,222 2,104,C major,8B
french-horn_C3_05_piano_normal.mp3,,57 2,107,C major,8B
french-horn_C3_15_fortissimo_normal.mp3,,394 2,101,C major,8B
french-horn_C3_15_mezzo-forte_normal.mp3,,224 2,96,C major,8B
french-horn_C3_15_piano_normal.mp3,,59 1,87,C major,8B
french-horn_C3_025_fortissimo_normal.mp3,,391 1,121,C major,8B
french-horn_C3_025_mezzo-forte_normal.mp3,,221 2,101,C major,8B
french-horn_C3_025_piano_normal.mp3,,56 1,147,F major,7B
french-horn_C3_phrase_forte_legato.mp3,,599 1,101,F minor,4A
french-horn_C3_phrase_forte_nonlegato.mp3,,629 1,110,C major,8B
french-horn_C3_phrase_mezzo-forte_nonlegato.mp3,,806 1,87,A minor,8A
french-horn_C3_very-long_cresc-decresc_normal.mp3,,637 2,101,C major,8B
french-horn_C3_very-long_forte_normal.mp3,,741 1,101,C major,8B
french-horn_C3_very-long_pianissimo_normal.mp3,,830 1,83,C minor,5A
french-horn_C4_1_fortissimo_normal.mp3,,449 2,107,C major,8B
french-horn_C4_1_mezzo-forte_normal.mp3,,271 2,107,C major,8B
french-horn_C4_1_piano_normal.mp3,,104 3,85,C major,8B
french-horn_C4_05_fortissimo_normal.mp3,,448 2,104,A minor,8A
french-horn_C4_05_mezzo-forte_normal.mp3,,270 2,104,C major,8B
french-horn_C4_05_piano_normal.mp3,,103 3,85,C major,8B
french-horn_C4_15_fortissimo_normal.mp3,,450 2,89,C major,8B
french-horn_C4_15_mezzo-forte_normal.mp3,,272 2,101,C major,8B
french-horn_C4_15_piano_normal.mp3,,105 3,87,C major,8B
french-horn_C4_025_fortissimo_normal.mp3,,447 2,144,C major,8B
french-horn_C4_025_mezzo-forte_normal.mp3,,269 2,153,C major,8B
french-horn_C4_025_piano_normal.mp3,,102 3,104,F major,7B
french-horn_C4_phrase_mezzo-forte_staccatissimo.mp3,,824 1,113,A minor,8A
french-horn_C4_very-long_cresc-decresc_normal.mp3,,829 1,101,C major,8B
french-horn_C4_very-long_forte_normal.mp3,,742 1,107,C major,8B
french-horn_C4_very-long_fortissimo_normal.mp3,,773 1,85,C minor,5A
french-horn_C4_very-long_piano_normal.mp3,,737 2,142,C major,8B
french-horn_C5_1_fortissimo_normal.mp3,,525 2,91,A minor,8A
french-horn_C5_1_mezzo-forte_normal.mp3,,330 2,107,A minor,8A
french-horn_C5_1_piano_normal.mp3,,154 3,80,A minor,8A
french-horn_C5_05_fortissimo_normal.mp3,,524 2,107,C major,8B
french-horn_C5_05_mezzo-forte_normal.mp3,,329 2,96,C major,8B
french-horn_C5_05_piano_normal.mp3,,153 3,94,A minor,8A
french-horn_C5_15_fortissimo_normal.mp3,,550 2,83,C major,8B
french-horn_C5_15_mezzo-forte_normal.mp3,,331 2,104,C major,8B
french-horn_C5_15_piano_normal.mp3,,155 3,107,A minor,8A
french-horn_C5_025_fortissimo_normal.mp3,,523 2,129,A minor,8A
french-horn_C5_025_mezzo-forte_normal.mp3,,328 2,129,A minor,8A
french-horn_C5_025_piano_normal.mp3,,152 3,121,A minor,8A
french-horn_C5_phrase_forte_glissando.mp3,,724 2,132,F major,7B
french-horn_C5_very-long_crescendo_normal.mp3,,644 2,94,C major,8B
french-horn_C5_very-long_forte_normal.mp3,,743 1,82,C major,8B
french-horn_C5_very-long_piano_normal.mp3,,738 2,129,C major,8B
french-horn_Cs2_1_forte_minor-trill.mp3,,744 1,96,C# minor,
french-horn_Cs2_1_fortissimo_normal.mp3,,345 2,78,C# major,
french-horn_Cs2_1_mezzo-forte_normal.mp3,,179 3,101,C# major,
french-horn_Cs2_1_piano_normal.mp3,,14 1,91,C# major,
french-horn_Cs2_05_fortissimo_normal.mp3,,344 1,107,C# major,
french-horn_Cs2_05_mezzo-forte_normal.mp3,,178 3,107,C# major,
french-horn_Cs2_05_piano_normal.mp3,,13 2,147,C# minor,
french-horn_Cs2_15_fortissimo_normal.mp3,,346 1,94,C# major,
french-horn_Cs2_15_mezzo-forte_normal.mp3,,180 3,87,C# minor,
french-horn_Cs2_15_piano_normal.mp3,,15 2,87,C# major,
french-horn_Cs2_025_fortissimo_normal.mp3,,343 2,97,A minor,8A
french-horn_Cs2_025_mezzo-forte_normal.mp3,,177 3,95,C# minor,
french-horn_Cs2_025_piano_normal.mp3,,12 1,99,C# major,
french-horn_Cs2_long_forte_normal.mp3,,680 2,78,C# major,
french-horn_Cs2_long_piano_mute.mp3,,842 1,90,C# minor,
french-horn_Cs2_long_piano_normal.mp3,,841 2,89,C# major,
french-horn_Cs2_phrase_forte_glissando.mp3,,710 2,69,C# major,
french-horn_Cs2_phrase_forte_legato.mp3,,591 1,80,F# major,
french-horn_Cs2_phrase_forte_nonlegato.mp3,,618 2,105,C# major,
french-horn_Cs2_phrase_mezzo-forte_nonlegato.mp3,,787 1,109,C# minor,
french-horn_Cs2_very-long_cresc-decresc_normal.mp3,,636 1,89,C# major,
french-horn_Cs3_1_forte_minor-trill.mp3,,748 1,78,D minor,7A
french-horn_Cs3_1_fortissimo_normal.mp3,,397 1,107,C# major,
french-horn_Cs3_1_mezzo-forte_normal.mp3,,227 1,139,C# minor,
french-horn_Cs3_1_piano_normal.mp3,,62 2,153,C# major,
french-horn_Cs3_05_fortissimo_normal.mp3,,396 2,107,C# major,
french-horn_Cs3_05_mezzo-forte_normal.mp3,,226 2,101,C# major,
french-horn_Cs3_05_piano_normal.mp3,,61 2,101,C# major,
french-horn_Cs3_15_fortissimo_normal.mp3,,398 2,123,C# major,
french-horn_Cs3_15_mezzo-forte_normal.mp3,,228 1,104,C# major,
french-horn_Cs3_15_piano_normal.mp3,,63 2,107,C# minor,
french-horn_Cs3_025_fortissimo_normal.mp3,,395 2,139,A major,11B
french-horn_Cs3_025_mezzo-forte_normal.mp3,,225 2,80,C# minor,
french-horn_Cs3_025_piano_normal.mp3,,60 1,96,A major,11B
french-horn_Cs3_long_forte_mute.mp3,,687 1,104,C# major,
french-horn_Cs3_long_forte_normal.mp3,,686 1,87,C# major,
french-horn_Cs3_long_piano_mute.mp3,,660 2,87,C# major,
french-horn_Cs3_long_piano_normal.mp3,,658 2,134,C# major,
french-horn_Cs3_phrase_forte_glissando.mp3,,715 2,107,C# major,
french-horn_Cs3_phrase_forte_legato.mp3,,604 2,109,F minor,4A
french-horn_Cs3_phrase_mezzo-forte_nonlegato.mp3,,805 1,91,C# major,
french-horn_Cs3_phrase_piano_normal.mp3,,832 1,104,C# major,
