File,Artist,Title,BPM,Key,Camelot
english-horn_A3_1_forte_normal.mp3,,Coranglais423,107,A minor,8A
english-horn_A3_1_fortissimo_normal.mp3,,Coranglais558,107,A minor,8A
english-horn_A3_1_mezzo-forte_normal.mp3,,Coranglais298,107,A minor,8A
english-horn_A3_1_mezzo-piano_normal.mp3,,Coranglais166,101,A minor,8A
english-horn_A3_1_pianissimo_normal.mp3,,Coranglais684,94,A minor,8A
english-horn_A3_1_piano_normal.mp3,,Coranglais143,107,A minor,8A
english-horn_A3_05_forte_normal.mp3,,Coranglais422,107,A major,11B
english-horn_A3_05_fortissimo_normal.mp3,,Coranglais560,107,A minor,8A
english-horn_A3_05_mezzo-forte_normal.mp3,,Coranglais297,107,A minor,8A
english-horn_A3_05_mezzo-piano_normal.mp3,,Coranglais164,91,A minor,8A
english-horn_A3_05_pianissimo_normal.mp3,,Coranglais20,99,A major,11B
english-horn_A3_05_piano_normal.mp3,,Coranglais142,104,A major,11B
english-horn_A3_15_forte_normal.mp3,,Coranglais424,107,A minor,8A
english-horn_A3_15_fortissimo_normal.mp3,,Coranglais562,107,A minor,8A
english-horn_A3_15_mezzo-forte_normal.mp3,,Coranglais299,104,A minor,8A
english-horn_A3_15_mezzo-piano_normal.mp3,,Coranglais168,89,A minor,8A
english-horn_A3_15_pianissimo_normal.mp3,,Coranglais22,101,A minor,8A
english-horn_A3_025_forte_normal.mp3,,Coranglais421,104,A minor,8A
english-horn_A3_025_fortissimo_normal.mp3,,Coranglais556,104,A minor,8A
english-horn_A3_025_mezzo-forte_normal.mp3,,Coranglais296,107,A minor,8A
english-horn_A3_025_mezzo-piano_normal.mp3,,Coranglais163,85,A minor,8A
english-horn_A3_025_pianissimo_normal.mp3,,Coranglais19,104,A minor,8A
english-horn_A3_025_piano_normal.mp3,,Coranglais141,85,A minor,8A
english-horn_A3_phrase_mezzo-forte_fluttertonguing.mp3,,Coranglais753,77,A major,11B
english-horn_A3_phrase_mezzo-forte_normal.mp3,,Coranglais725,128,A major,11B
english-horn_A3_phrase_mezzo-forte_staccato.mp3,,Coranglais733,74,B minor,10A
english-horn_A3_phrase_mezzo-forte_tenuto.mp3,,Coranglais746,82,A major,11B
english-horn_A4_1_forte_normal.mp3,,Coranglais475,107,A minor,8A
english-horn_A4_1_fortissimo_normal.mp3,,Coranglais607,96,A minor,8A
english-horn_A4_1_mezzo-forte_normal.mp3,,Coranglais347,99,A minor,8A
english-horn_A4_1_mezzo-piano_normal.mp3,,Coranglais216,107,A minor,8A
english-horn_A4_1_pianissimo_normal.mp3,,Coranglais64,99,A minor,8A
english-horn_A4_05_forte_normal.mp3,,Coranglais474,107,A minor,8A
english-horn_A4_05_fortissimo_normal.mp3,,Coranglais606,107,A minor,8A
english-horn_A4_05_mezzo-forte_normal.mp3,,Coranglais346,107,A minor,8A
english-horn_A4_05_mezzo-piano_normal.mp3,,Coranglais212,107,A minor,8A
english-horn_A4_05_pianissimo_normal.mp3,,Coranglais63,107,A minor,8A
english-horn_A4_15_forte_normal.mp3,,Coranglais476,91,A minor,8A
english-horn_A4_15_fortissimo_normal.mp3,,Coranglais608,101,A minor,8A
english-horn_A4_15_mezzo-forte_normal.mp3,,Coranglais348,101,A minor,8A
english-horn_A4_15_mezzo-piano_normal.mp3,,Coranglais217,89,A minor,8A
english-horn_A4_15_pianissimo_normal.mp3,,Coranglais692,101,A minor,8A
english-horn_A4_025_forte_normal.mp3,,Coranglais473,104,A minor,8A
english-horn_A4_025_fortissimo_normal.mp3,,Coranglais605,104,A minor,8A
english-horn_A4_025_mezzo-forte_normal.mp3,,Coranglais345,101,A major,11B
english-horn_A4_025_mezzo-piano_normal.mp3,,Coranglais211,134,A minor,8A
english-horn_A4_025_pianissimo_normal.mp3,,Coranglais62,107,A minor,8A
english-horn_A4_phrase_mezzo-forte_staccatissimo.mp3,,Coranglais720,84,D major,10B
english-horn_A5_1_forte_normal.mp3,,Coranglais527,94,A minor,8A
english-horn_A5_1_fortissimo_normal.mp3,,Coranglais655,101,A major,11B
english-horn_A5_1_mezzo-forte_normal.mp3,,Coranglais394,107,A minor,8A
english-horn_A5_1_mezzo-piano_normal.mp3,,Coranglais267,107,D major,10B
english-horn_A5_1_pianissimo_normal.mp3,,Coranglais110,107,A minor,8A
english-horn_A5_05_forte_normal.mp3,,Coranglais526,96,A minor,8A
english-horn_A5_05_fortissimo_normal.mp3,,Coranglais654,104,A minor,8A
english-horn_A5_05_mezzo-forte_normal.mp3,,Coranglais393,101,A minor,8A
english-horn_A5_05_mezzo-piano_normal.mp3,,Coranglais266,104,A minor,8A
english-horn_A5_05_pianissimo_normal.mp3,,Coranglais674,107,A major,11B
english-horn_A5_15_forte_normal.mp3,,Coranglais528,107,A minor,8A
english-horn_A5_15_mezzo-forte_normal.mp3,,Coranglais395,107,A minor,8A
english-horn_A5_15_mezzo-piano_normal.mp3,,Coranglais268,104,A minor,8A
english-horn_A5_15_pianissimo_normal.mp3,,Coranglais111,94,A minor,8A
english-horn_A5_025_forte_normal.mp3,,Coranglais525,82,A minor,8A
english-horn_A5_025_fortissimo_normal.mp3,,Coranglais653,94,A minor,8A
english-horn_A5_025_mezzo-forte_normal.mp3,,Coranglais392,101,A minor,8A
english-horn_A5_025_mezzo-piano_normal.mp3,,Coranglais265,107,A minor,8A
english-horn_A5_025_pianissimo_normal.mp3,,Coranglais108,142,A major,11B
english-horn_As3_1_forte_normal.mp3,,Coranglais427,104,B♭ minor,3A
english-horn_As3_1_fortissimo_normal.mp3,,Coranglais565,107,B♭ major,6B
english-horn_As3_1_mezzo-forte_normal.mp3,,Coranglais709,104,B♭ minor,3A
english-horn_As3_1_mezzo-piano_normal.mp3,,Coranglais171,104,B♭ minor,3A
english-horn_As3_1_pianissimo_normal.mp3,,Coranglais25,101,B♭ major,6B
english-horn_As3_05_forte_normal.mp3,,Coranglais426,107,B♭ minor,3A
english-horn_As3_05_fortissimo_normal.mp3,,Coranglais564,104,B♭ minor,3A
english-horn_As3_05_mezzo-forte_normal.mp3,,Coranglais301,107,B♭ major,6B
english-horn_As3_05_mezzo-piano_normal.mp3,,Coranglais170,99,B♭ major,6B
english-horn_As3_05_pianissimo_normal.mp3,,Coranglais24,96,B♭ minor,3A
english-horn_As3_15_forte_normal.mp3,,Coranglais428,107,B♭ major,6B
english-horn_As3_15_mezzo-forte_normal.mp3,,Coranglais304,96,B♭ minor,3A
english-horn_As3_15_mezzo-piano_normal.mp3,,Coranglais172,85,B♭ minor,3A
english-horn_As3_15_pianissimo_normal.mp3,,Coranglais26,99,B♭ major,6B
english-horn_As3_025_forte_normal.mp3,,Coranglais425,104,B♭ major,6B
english-horn_As3_025_fortissimo_normal.mp3,,Coranglais563,104,B♭ minor,3A
english-horn_As3_025_mezzo-forte_normal.mp3,,Coranglais300,96,B♭ major,6B
english-horn_As3_025_mezzo-piano_normal.mp3,,Coranglais169,80,B♭ minor,3A
english-horn_As3_025_pianissimo_normal.mp3,,Coranglais23,107,B♭ minor,3A
english-horn_As3_phrase_cresc-decresc_normal.mp3,,Coranglais761,112,B♭ minor,3A
english-horn_As3_phrase_mezzo-forte_fluttertonguing.mp3,,Coranglais770,80,A major,11B
english-horn_As3_phrase_mezzo-forte_normal.mp3,,Coranglais727,129,A major,11B
english-horn_As3_very-long_forte_normal.mp3,,Coranglais779,77,B♭ major,6B
english-horn_As3_very-long_piano_normal.mp3,,Coranglais776,107,B♭ minor,3A
english-horn_As4_1_forte_normal.mp3,,Coranglais479,104,B♭ major,6B
english-horn_As4_1_fortissimo_normal.mp3,,Coranglais611,99,B♭ minor,3A
english-horn_As4_1_mezzo-forte_normal.mp3,,Coranglais351,94,B♭ major,6B
english-horn_As4_1_mezzo-piano_normal.mp3,,Coranglais220,107,B♭ minor,3A
english-horn_As4_1_pianissimo_normal.mp3,,Coranglais68,107,B♭ minor,3A
english-horn_As4_05_forte_normal.mp3,,Coranglais478,107,B♭ minor,3A
english-horn_As4_05_fortissimo_normal.mp3,,Coranglais610,107,B♭ minor,3A
english-horn_As4_05_mezzo-forte_normal.mp3,,Coranglais350,107,B♭ minor,3A
english-horn_As4_05_mezzo-piano_normal.mp3,,Coranglais219,107,B♭ minor,3A
english-horn_As4_05_pianissimo_normal.mp3,,Coranglais67,99,B♭ major,6B
english-horn_As4_15_forte_normal.mp3,,Coranglais480,107,E♭ minor,2A
english-horn_As4_15_fortissimo_normal.mp3,,Coranglais612,99,B major,1B
english-horn_As4_15_mezzo-forte_normal.mp3,,Coranglais352,107,B♭ minor,3A
english-horn_As4_15_mezzo-piano_normal.mp3,,Coranglais221,107,B♭ minor,3A
english-horn_As4_15_pianissimo_normal.mp3,,Coranglais69,99,B♭ major,6B
english-horn_As4_025_forte_normal.mp3,,Coranglais477,107,B♭ minor,3A
english-horn_As4_025_fortissimo_normal.mp3,,Coranglais609,104,B♭ minor,3A
english-horn_As4_025_mezzo-forte_normal.mp3,,Coranglais349,101,B major,1B
english-horn_As4_025_mezzo-piano_normal.mp3,,Coranglais218,101,B♭ minor,3A
english-horn_As4_025_pianissimo_normal.mp3,,Coranglais66,107,B♭ minor,3A
english-horn_As4_phrase_cresc-decresc_normal.mp3,,Coranglais765,123,B♭ minor,3A
english-horn_As4_very-long_forte_normal.mp3,,Coranglais780,80,B♭ minor,3A
english-horn_As4_very-long_piano_normal.mp3,,Coranglais777,147,B♭ minor,3A
english-horn_As5_1_forte_normal.mp3,,Coranglais531,89,A minor,8A
english-horn_As5_1_fortissimo_normal.mp3,,Coranglais658,107,B♭ major,6B
english-horn_As5_1_mezzo-forte_normal.mp3,,Coranglais714,96,B minor,10A
english-horn_As5_05_forte_normal.mp3,,Coranglais530,104,B minor,10A
english-horn_As5_05_fortissimo_normal.mp3,,Coranglais657,107,E♭ minor,2A
english-horn_As5_05_mezzo-forte_normal.mp3,,Coranglais397,107,A minor,8A
english-horn_As5_05_mezzo-piano_normal.mp3,,Coranglais270,104,E♭ minor,2A
english-horn_As5_05_pianissimo_normal.mp3,,Coranglais694,107,A major,11B
english-horn_As5_15_forte_normal.mp3,,Coranglais532,107,B♭ major,6B
english-horn_As5_15_mezzo-forte_normal.mp3,,Coranglais399,107,D minor,7A
english-horn_As5_025_forte_normal.mp3,,Coranglais529,96,A minor,8A
english-horn_As5_025_fortissimo_normal.mp3,,Coranglais656,94,A minor,8A
english-horn_As5_025_mezzo-forte_normal.mp3,,Coranglais396,107,A major,11B
english-horn_As5_025_mezzo-piano_normal.mp3,,Coranglais269,101,B♭ major,6B
english-horn_As5_phrase_cresc-decresc_normal.mp3,,Coranglais769,82,B♭ major,6B
english-horn_As5_very-long_forte_normal.mp3,,Coranglais781,127,A major,11B
english-horn_As5_very-long_piano_normal.mp3,,Coranglais778,125,A minor,8A
english-horn_B3_1_forte_normal.mp3,,Coranglais431,107,B minor,10A
english-horn_B3_1_fortissimo_normal.mp3,,Coranglais568,107,B major,1B
english-horn_B3_1_mezzo-forte_normal.mp3,,Coranglais307,94,B minor,10A
english-horn_B3_1_mezzo-piano_normal.mp3,,Coranglais175,94,B major,1B
english-horn_B3_1_pianissimo_normal.mp3,,Coranglais664,153,B minor,10A
english-horn_B3_05_forte_normal.mp3,,Coranglais430,107,B minor,10A
english-horn_B3_05_fortissimo_normal.mp3,,Coranglais567,99,B minor,10A
english-horn_B3_05_mezzo-forte_normal.mp3,,Coranglais306,107,B major,1B
english-horn_B3_05_mezzo-piano_normal.mp3,,Coranglais174,87,B major,1B
english-horn_B3_05_pianissimo_normal.mp3,,Coranglais663,83,B minor,10A
english-horn_B3_15_forte_normal.mp3,,Coranglais432,107,B minor,10A
english-horn_B3_15_fortissimo_normal.mp3,,Coranglais569,107,B minor,10A
english-horn_B3_15_mezzo-forte_normal.mp3,,Coranglais308,101,B minor,10A
english-horn_B3_15_mezzo-piano_normal.mp3,,Coranglais176,150,B major,1B
english-horn_B3_025_forte_normal.mp3,,Coranglais429,96,B minor,10A
english-horn_B3_025_fortissimo_normal.mp3,,Coranglais566,101,B minor,10A
english-horn_B3_025_mezzo-forte_normal.mp3,,Coranglais305,107,B minor,10A
english-horn_B3_025_mezzo-piano_normal.mp3,,Coranglais173,107,B major,1B
english-horn_B3_025_pianissimo_normal.mp3,,Coranglais27,107,B minor,10A
english-horn_B3_phrase_mezzo-forte_fluttertonguing.mp3,,Coranglais755,81,A minor,8A
english-horn_B3_phrase_mezzo-forte_normal.mp3,,Coranglais728,125,A minor,8A
english-horn_B3_phrase_mezzo-forte_staccato.mp3,,Coranglais742,83,D minor,7A
english-horn_B3_phrase_mezzo-forte_tenuto.mp3,,Coranglais747,84,A minor,8A
